collected_at,source_url,name,foil_status,price,url,print_variation,image_url,cn_price,en_price,set_number,raw_text
2026-07-08T15:23:37+00:00,https://bilgewatermarket.com/cards/UNL-023,"Katarina, Reckless",nonfoil,0.25,https://bilgewatermarket.com/cards/UNL-023,normal,https://bilgewatermarket.com/assets/UNL-023-EN-CIpViq7N.webp,0.56,0.25,UNL-023,"Bilgewater Market Home Cards Market Trade About Account Back to Browse CN EN 0 OTHER PRINTS No other prints in this group. Katarina, Reckless UNL-023 NORMAL RARE MARKET PRICES CN CNY 0.56 ▼ 12.5% EN USD 0.25 ▼ 7.4% CN / EN PRICE COMPARISON PRICE HISTORY 1M 3M 6M 1Y All"
2026-07-08T15:23:37+00:00,https://bilgewatermarket.com/cards/UNL-059a?print_variation=showcase,"Master Yi, Unstoppable",nonfoil,3.08,https://bilgewatermarket.com/cards/UNL-059a?print_variation=showcase,showcase,,12.36,3.08,UNL-059A,"Bilgewater Market Home Cards Market Trade About Account Back to Browse No Image CN EN 1 OTHER PRINTS PRINTS CN EN UNL-059 ¥7.11 $1.61 Master Yi, Unstoppable UNL-059A SHOWCASE ALT ART MARKET PRICES CN CNY 12.36 ▲ 2.7% EN USD 3.08 ▼ 3.4% CN / EN PRICE COMPARISON PRICE HISTORY 1M 3M 6M 1Y All CNEN 10/06 17/06 24/06 01/07 08/07 ¥0.00 ¥6.00 ¥12.0 ¥18.0 ¥23.4 $0.00 $0.90 $1.80 $2.70 $3.45 ¥23.4"
2026-07-08T15:23:37+00:00,https://bilgewatermarket.com/cards/UNL-028a?print_variation=showcase,"Pyke, Dockside Butcher",nonfoil,18.68,https://bilgewatermarket.com/cards/UNL-028a?print_variation=showcase,showcase,,13.78,18.68,UNL-028A,"Bilgewater Market Home Cards Market Trade About Account Back to Browse No Image CN EN 1 OTHER PRINTS PRINTS CN EN UNL-028 ¥7.52 $15.32 Pyke, Dockside Butcher UNL-028A SHOWCASE ALT ART MARKET PRICES CN CNY 13.78 ▼ 10.6% EN USD 18.68 ▲ 0.3% CN / EN PRICE COMPARISON PRICE HISTORY 1M 3M 6M 1Y All"
